block,coder,date,id,latency_sit,latency_down
1,KH,2019-05-14,842315,30,NA
1,KH,2018-10-29,817991,4,2
1,KH,2018-08-21,101196,0,1
1,KH,2018-08-21,120627,30,30
1,KH,2018-05-22,905332,4,30
1,KH,2018-01-29,970993,5,30
1,KH,2018-03-12,970993,1,2
1,KH,2019-06-25,963725,1,0
1,KH,2019-02-18,875568,1,6
1,KH,2019-09-09,159649,1,30
1,KH,2019-06-25,139292,6,3
1,KH,2018-10-29,812763,1,0
1,KH,2019-03-04,109231,0,0
1,KH,2019-09-09,982356,30,2
1,KH,2018-03-12,123764,2,2
1,KT,2019-05-14,842315,30,NA
1,KT,2018-10-29,817991,2,2
1,KT,2018-08-21,101196,1,1
1,KT,2018-08-21,120627,30,30
1,KT,2018-05-22,905332,30,30
1,KT,2018-01-29,970993,5,30
1,KT,2018-03-12,970993,2,-14
1,KT,2019-06-25,963725,1,2
1,KT,2019-02-18,875568,1,6
1,KT,2019-09-09,159649,1,30
1,KT,2019-06-25,139292,6,3
1,KT,2018-10-29,812763,1,0
1,KT,2019-03-04,109231,0,0
1,KT,2019-09-09,982356,30,1
1,KT,2018-03-12,123764,2,3
1,LW,2019-05-14,842315,30,NA
1,LW,2018-10-29,817991,2,3
1,LW,2018-08-21,101196,1,1
1,LW,2018-08-21,120627,30,30
1,LW,2018-05-22,905332,4,30
1,LW,2018-01-29,970993,30,1
1,LW,2018-03-12,970993,2,2
1,LW,2019-06-25,963725,2,1
1,LW,2019-02-18,875568,1,6
1,LW,2019-09-09,159649,1,30
1,LW,2019-06-25,139292,7,3
1,LW,2018-10-29,812763,1,0
1,LW,2019-03-04,109231,1,1
1,LW,2019-09-09,982356,30,2
1,LW,2018-03-12,123764,3,1
1,MB,2019-05-14,842315,30,NA
1,MB,2018-10-29,817991,2,2
1,MB,2018-08-21,101196,2,1
1,MB,2018-08-21,120627,1,30
1,MB,2018-05-22,905332,30,30
1,MB,2018-01-29,970993,7,1
1,MB,2018-03-12,970993,1,2
1,MB,2019-06-25,963725,2,2
1,MB,2019-02-18,875568,1,6
1,MB,2019-09-09,159649,1,30
1,MB,2019-06-25,139292,7,3
1,MB,2018-10-29,812763,1,1
1,MB,2019-03-04,109231,0,1
1,MB,2019-09-09,982356,30,1
1,MB,2018-03-12,123764,2,1
1,MY,2019-05-14,842315,30,NA
1,MY,2018-10-29,817991,2,3
1,MY,2018-08-21,101196,1,0
1,MY,2018-08-21,120627,30,1
1,MY,2018-05-22,905332,4,30
1,MY,2018-01-29,970993,NA,0
1,MY,2018-03-12,970993,2,2
1,MY,2019-06-25,963725,2,1
1,MY,2019-02-18,875568,1,6
1,MY,2019-09-09,159649,2,30
1,MY,2019-06-25,139292,6,1
1,MY,2018-10-29,812763,0,1
1,MY,2019-03-04,109231,0,0
1,MY,2019-09-09,982356,30,1
1,MY,2018-03-12,123764,4,3
2,KH,2019-01-14,968994,0,3
2,KH,2018-10-29,100858,0,0
2,KH,2018-03-12,877931,6,NA
2,KH,2018-03-12,120627,0,1
2,KH,2019-03-04,934362,4,30
2,KH,2019-03-04,100917,2,1
2,KH,2019-04-08,113765,5,30
2,KH,2019-04-08,123788,0,2
2,KH,2018-05-22,105578,30,NA
2,KH,2019-06-25,139704,1,30
2,KH,2018-09-10,972531,1,4
2,KH,2019-09-17,840325,0,2
2,KH,2019-09-09,982356,30,2
2,KH,2019-09-09,101587,1,5
2,KH,2018-03-12,123764,3,2
2,KT,2019-01-14,968994,0,3
2,KT,2018-10-29,100858,0,1
2,KT,2018-03-12,877931,6,NA
2,KT,2018-03-12,120627,1,1
2,KT,2019-03-04,934362,5,NA
2,KT,2019-03-04,100917,2,1
2,KT,2019-04-08,113765,NA,NA
2,KT,2019-04-08,123788,NA,2
2,KT,2018-05-22,105578,NA,NA
2,KT,2019-06-25,139704,1,NA
2,KT,2018-09-10,972531,1,4
2,KT,2019-09-17,840325,NA,NA
2,KT,2019-09-09,982356,NA,1
2,KT,2019-09-09,101587,5,1
2,KT,2018-03-12,123764,3,1
2,LW,2019-01-14,968994,0,3
2,LW,2018-10-29,100858,0,1
2,LW,2018-03-12,877931,6,NA
2,LW,2018-03-12,120627,0,1
2,LW,2019-03-04,934362,4,30
2,LW,2019-03-04,100917,2,1
2,LW,2019-04-08,113765,6,30
2,LW,2019-04-08,123788,0,2
2,LW,2018-05-22,105578,30,NA
2,LW,2019-06-25,139704,1,30
2,LW,2018-09-10,972531,1,4
2,LW,2019-09-17,840325,0,2
2,LW,2019-09-09,982356,30,2
2,LW,2019-09-09,101587,7,1
2,LW,2018-03-12,123764,3,2
2,MB,2019-01-14,968994,1,3
2,MB,2018-10-29,100858,0,1
2,MB,2018-03-12,877931,6,1
2,MB,2018-03-12,120627,0,1
2,MB,2019-03-04,934362,4,NA
2,MB,2019-03-04,100917,3,1
2,MB,2019-04-08,113765,5,NA
2,MB,2019-04-08,123788,1,2
2,MB,2018-05-22,105578,NA,NA
2,MB,2019-06-25,139704,1,NA
2,MB,2018-09-10,972531,1,4
2,MB,2019-09-17,840325,0,2
2,MB,2019-09-09,982356,NA,2
2,MB,2019-09-09,101587,1,6
2,MB,2018-03-12,123764,3,3
2,MY,2019-01-14,968994,1,3
2,MY,2018-10-29,100858,0,1
2,MY,2018-03-12,877931,6,1
2,MY,2018-03-12,120627,0,1
2,MY,2019-03-04,934362,4,30
2,MY,2019-03-04,100917,2,1
2,MY,2019-04-08,113765,5,30
2,MY,2019-04-08,123788,0,2
2,MY,2018-05-22,105578,30,NA
2,MY,2019-06-25,139704,1,30
2,MY,2018-09-10,972531,1,4
2,MY,2019-09-17,840325,0,2
2,MY,2019-09-09,982356,30,2
2,MY,2019-09-09,101587,30,7
2,MY,2018-03-12,123764,3,3
3,KH,2019-01-14,848400,3,3
3,KH,2019-01-14,121434,2,1
3,KH,2019-01-14,968994,0,3
3,KH,2019-01-14,113765,3,30
3,KH,2019-01-14,118299,30,30
3,KH,2019-01-14,977204,1,NA
3,KH,2019-01-14,106517,30,30
3,KH,2019-01-14,863897,2,30
3,KH,2019-01-14,812763,5,2
3,KH,2019-01-14,875568,30,30
3,KH,2019-01-14,777280,1,1
3,KH,2019-01-14,817991,2,2
3,KH,2018-01-29,107158,30,NA
3,KH,2019-02-18,102656,30,2
3,KH,2019-02-18,121434,NA,2
3,KH,2019-02-18,968994,12,30
3,KH,2019-02-18,113765,30,NA
3,KH,2019-02-18,118299,1,30
3,KH,2019-02-18,977204,1,2
3,KH,2019-02-18,106517,0,1
3,KH,2019-02-18,812763,2,1
3,KH,2019-02-18,817991,1,2
3,KH,2019-03-04,119869,1,0
3,KH,2019-03-04,110599,1,1
3,KH,2019-03-04,123788,1,0
3,KH,2019-03-04,113765,1,0
3,KH,2019-03-04,124697,1,1
3,KH,2019-03-04,873873,30,NA
3,KH,2019-03-04,100917,2,1
3,KH,2019-03-04,896280,3,1
3,KH,2019-03-04,109537,3,30
3,KH,2019-03-04,934362,4,30
3,KH,2018-03-12,126654,3,0
3,KH,2018-03-12,969903,1,5
3,KH,2018-03-12,110563,2,1
3,KH,2018-03-12,110545,1,1
3,KH,2018-03-12,135207,0,3
3,KH,2018-03-12,134782,1,0
3,KH,2018-03-12,108323,0,2
3,KH,2018-03-12,102969,2,2
3,KH,2018-03-12,120627,0,1
3,KH,2018-03-12,835984,30,0
3,KH,2018-03-12,988760,1,0
3,KH,2018-03-12,102672,1,3
3,KH,2018-03-12,122045,1,1
3,KH,2018-03-12,877931,6,NA
3,KH,2018-03-12,110947,30,30
3,KH,2018-03-12,754196,30,0
3,KH,2018-03-12,106415,1,2
3,KH,2018-03-12,737026,30,14
3,KH,2019-04-08,110599,3,2
3,KH,2019-04-08,123788,0,2
3,KH,2019-04-08,113765,5,30
3,KH,2019-04-08,873873,0,30
3,KH,2019-04-08,896280,1,2
3,KH,2019-04-08,109537,NA,30
3,KH,2019-04-08,842315,1,9
3,KH,2019-05-14,106320,30,2
3,KH,2019-05-14,130304,0,2
3,KH,2019-05-14,855865,1,4
3,KH,2019-05-14,115741,1,1
3,KH,2019-05-14,967079,3,30
3,KH,2019-05-14,852036,2,30
3,KH,2019-05-14,858218,8,NA
3,KH,2018-05-22,112393,30,30
3,KH,2018-05-22,964965,3,5
3,KT,2018-03-12,969903,1,5
3,KT,2018-03-12,110563,1,1
3,KT,2018-03-12,110545,1,1
3,KT,2018-03-12,135207,1,3
3,KT,2018-03-12,134782,1,1
3,KT,2018-03-12,108323,2,1
3,KT,2018-03-12,102969,1,2
3,KT,2018-03-12,120627,1,1
3,KT,2018-03-12,835984,2,1
3,KT,2018-03-12,988760,1,0
3,KT,2018-03-12,102672,3,0
3,KT,2018-03-12,122045,1,1
3,KT,2018-03-12,877931,6,2
3,KT,2018-03-12,110947,2,30
3,KT,2018-03-12,754196,30,30
3,KT,2018-03-12,106415,1,0
3,KT,2018-03-12,737026,1,2
3,KT,2019-04-08,110599,4,2
3,KT,2019-04-08,123788,0,2
3,KT,2019-04-08,113765,1,1
3,KT,2019-04-08,873873,0,30
3,KT,2019-04-08,896280,1,2
3,KT,2019-04-08,109537,4,3
3,KT,2019-04-08,842315,1,10
3,KT,2019-05-14,106320,2,NA
3,KT,2019-05-14,130304,1,2
3,KT,2019-05-14,855865,1,4
3,KT,2019-05-14,115741,2,1
3,KT,2019-05-14,967079,3,6
3,KT,2019-05-14,852036,2,30
3,KT,2019-05-14,858218,1,NA
3,KT,2018-05-22,112393,30,30
3,KT,2018-05-22,964965,3,5
3,KT,2018-09-10,107494,1,1
3,KT,2018-09-10,126178,2,1
3,KT,2018-09-10,144749,1,4
3,KT,2018-09-10,101419,30,4
3,KT,2018-09-10,801031,1,30
3,KT,2018-09-10,922900,NA,6
3,KT,2018-09-10,972531,1,4
3,KT,2018-09-10,812763,3,3
3,KT,2018-09-10,780671,30,NA
3,KT,2018-09-10,846612,NA,11
3,KT,2018-09-10,101624,30,NA
3,KT,2018-09-10,817991,1,2
3,KT,2018-09-10,112265,30,1
3,KT,2019-09-16,102958,2,1
3,KT,2019-09-16,837795,1,30
3,KT,2019-09-16,101606,2,1
3,KT,2019-09-16,882509,2,NA
3,KT,2019-09-16,835901,1,1
3,KT,2019-09-17,840325,1,2
3,KT,2018-09-17,123764,1,2
3,KT,2018-09-17,100858,30,1
3,KT,2018-09-17,999414,2,2
3,KT,2018-10-29,958997,1,3
3,KT,2018-10-29,107494,0,1
3,KT,2018-10-29,144749,1,2
3,KT,2018-10-29,101419,2,5
3,KT,2018-10-29,801031,1,NA
3,KT,2018-10-29,123764,0,2
3,KT,2018-10-29,100858,0,1
3,KT,2018-10-29,972531,1,2
3,KT,2018-10-29,812864,3,3
3,KT,2018-10-29,127706,1,2
3,KT,2019-05-14,842315,30,NA
3,KT,2018-10-29,817991,2,3
3,KT,2018-08-21,101196,1,1
3,KT,2018-08-21,120627,30,30
3,KT,2018-05-22,905332,30,30
3,KT,2018-01-29,970993,7,30
3,KT,2018-03-12,970993,2,2
3,KT,2019-06-25,963725,2,2
3,KT,2019-02-18,875568,1,6
3,KT,2019-09-09,159649,1,30
3,KT,2019-06-25,139292,7,3
3,KT,2018-10-29,812763,1,1
3,KT,2019-03-04,109231,1,0
3,KT,2019-09-09,982356,30,1
3,KT,2018-03-12,123764,3,1
3,MB,2018-05-22,128360,4,30
3,MB,2018-05-22,920198,2,2
3,MB,2018-05-22,105578,13,NA
3,MB,2018-05-22,799999,1,1
3,MB,2018-05-22,105919,8,30
3,MB,2018-05-22,930129,1,1
3,MB,2019-06-25,113805,0,2
3,MB,2019-06-25,110599,2,30
3,MB,2019-06-25,139704,1,30
3,MB,2019-06-25,114977,4,30
3,MB,2019-06-25,118299,4,30
3,MB,2019-06-25,994573,0,4
3,MB,2019-06-25,108221,1,1
3,MB,2019-06-25,861360,1,2
3,MB,2019-06-25,109126,NA,8
3,MB,2018-07-10,163671,1,1
3,MB,2018-07-10,120627,1,2
3,MB,2018-07-10,106517,2,2
3,MB,2018-07-10,101196,NA,2
3,MB,2018-07-10,123764,4,2
3,MB,2018-07-10,824291,0,2
3,MB,2018-07-10,963725,1,30
3,MB,2018-07-10,817251,8,5
3,MB,2018-07-10,101335,22,NA
3,MB,2018-07-10,633669,30,NA
3,MB,2018-07-10,778050,0,30
3,MB,2018-08-21,163671,0,1
3,MB,2018-08-21,123764,1,2
3,MB,2018-08-21,824291,2,2
3,MB,2018-08-21,778050,1,1
3,MB,2019-09-09,110545,2,5
3,MB,2019-09-09,101587,1,3
3,MB,2018-09-10,958997,0,11
3,MB,2019-01-14,848400,3,4
3,MB,2019-01-14,121434,2,1
3,MB,2019-01-14,968994,1,3
3,MB,2019-01-14,113765,3,30
3,MB,2019-01-14,118299,0,30
3,MB,2019-01-14,977204,1,30
3,MB,2019-01-14,106517,4,30
3,MB,2019-01-14,863897,2,30
3,MB,2019-01-14,812763,5,2
3,MB,2019-01-14,875568,2,NA
3,MB,2019-01-14,777280,0,1
3,MB,2019-01-14,817991,2,2
3,MB,2018-01-29,107158,30,NA
3,MB,2019-02-18,102656,0,2
3,MB,2019-02-18,121434,NA,2
3,MB,2019-02-18,968994,12,30
3,MB,2019-02-18,113765,30,NA
3,MB,2019-02-18,118299,1,30
3,MB,2019-02-18,977204,1,2
3,MB,2019-02-18,106517,0,2
3,MB,2019-02-18,812763,2,1
3,MB,2019-02-18,817991,1,3
3,MB,2019-03-04,119869,1,0
3,MB,2019-03-04,110599,2,2
3,MB,2019-03-04,123788,0,1
3,MB,2019-03-04,113765,1,0
3,MB,2019-03-04,124697,1,1
3,MB,2019-03-04,873873,5,NA
3,MB,2019-03-04,100917,2,1
3,MB,2019-03-04,896280,3,1
3,MB,2019-03-04,109537,4,3
3,MB,2019-03-04,934362,4,30
3,MB,2018-03-12,126654,3,1
3,MY,2018-09-10,107494,1,1
3,MY,2018-09-10,126178,2,1
3,MY,2018-09-10,144749,1,5
3,MY,2018-09-10,101419,30,5
3,MY,2018-09-10,801031,1,30
3,MY,2018-09-10,922900,1,1
3,MY,2018-09-10,972531,1,4
3,MY,2018-09-10,812763,2,3
3,MY,2018-09-10,780671,NA,30
3,MY,2018-09-10,846612,NA,11
3,MY,2018-09-10,101624,0,NA
3,MY,2018-09-10,817991,1,3
3,MY,2018-09-10,112265,30,1
3,MY,2019-09-16,102958,2,1
3,MY,2019-09-16,837795,1,1
3,MY,2019-09-16,101606,2,1
3,MY,2019-09-16,882509,2,NA
3,MY,2019-09-16,835901,2,1
3,MY,2019-09-17,840325,0,2
3,MY,2018-09-17,123764,1,2
3,MY,2018-09-17,100858,30,1
3,MY,2018-09-17,999414,1,2
3,MY,2018-10-29,958997,1,3
3,MY,2018-10-29,107494,0,1
3,MY,2018-10-29,144749,1,2
3,MY,2018-10-29,101419,2,5
3,MY,2018-10-29,801031,30,NA
3,MY,2018-10-29,123764,1,3
3,MY,2018-10-29,100858,0,1
3,MY,2018-10-29,972531,1,2
3,MY,2018-10-29,812864,3,4
3,MY,2018-10-29,127706,1,2
3,MY,2018-05-22,128360,3,30
3,MY,2018-05-22,920198,1,2
3,MY,2018-05-22,105578,30,NA
3,MY,2018-05-22,799999,1,1
3,MY,2018-05-22,105919,7,30
3,MY,2018-05-22,930129,1,1
3,MY,2019-06-25,113805,1,2
3,MY,2019-06-25,110599,2,30
3,MY,2019-06-25,139704,1,30
3,MY,2019-06-25,114977,1,30
3,MY,2019-06-25,118299,4,30
3,MY,2019-06-25,994573,0,4
3,MY,2019-06-25,108221,1,1
3,MY,2019-06-25,861360,30,30
3,MY,2019-06-25,109126,2,8
3,MY,2018-07-10,163671,1,1
3,MY,2018-07-10,120627,1,3
3,MY,2018-07-10,106517,2,3
3,MY,2018-07-10,101196,NA,2
3,MY,2018-07-10,123764,4,2
3,MY,2018-07-10,824291,0,2
3,MY,2018-07-10,963725,1,30
3,MY,2018-07-10,817251,8,5
3,MY,2018-07-10,101335,22,NA
3,MY,2018-07-10,633669,30,NA
3,MY,2018-07-10,778050,0,30
3,MY,2018-08-21,163671,0,1
3,MY,2018-08-21,123764,1,2
3,MY,2018-08-21,824291,2,2
3,MY,2018-08-21,778050,1,1
3,MY,2019-09-09,110545,3,5
3,MY,2019-09-09,101587,30,5
3,MY,2018-09-10,958997,1,11
3,MY,2019-05-14,842315,30,NA
3,MY,2018-10-29,817991,2,3
3,MY,2018-08-21,101196,1,1
3,MY,2018-08-21,120627,30,30
3,MY,2018-05-22,905332,30,30
3,MY,2018-01-29,970993,30,1
3,MY,2018-03-12,970993,2,2
3,MY,2019-06-25,963725,2,1
3,MY,2019-02-18,875568,1,6
3,MY,2019-09-09,159649,1,30
3,MY,2019-06-25,139292,7,3
3,MY,2018-10-29,812763,1,0
3,MY,2019-03-04,109231,1,0
3,MY,2019-09-09,982356,30,2
3,MY,2018-03-12,123764,4,3
